"","y","black","female","v.prev.full","age","edu","state","region.full"
"58",0,1,1,0.152999997138977,2,4,9,5
"59",0,0,1,0.566999971866608,4,1,47,3
"60",0,0,0,0.614666640758514,4,1,17,2
"61",0,0,1,0.529333353042603,2,2,26,2
"62",0,0,1,0.483666658401489,2,2,49,1
"63",1,0,0,0.533666670322418,2,4,14,2
"64",0,0,1,0.524333357810974,2,3,18,3
"65",0,0,1,0.493999987840652,2,4,21,1
"66",1,0,1,0.608666658401489,3,4,37,3
"67",1,1,0,0.525333285331726,1,2,41,3
"68",1,0,1,0.451333343982697,1,3,11,3
"69",1,0,1,0.506333351135254,2,3,43,3
"70",0,0,0,0.533666670322418,3,4,14,2
"71",1,0,0,0.510999977588654,1,2,33,1
"72",1,0,0,0.540333330631256,1,2,25,3
"73",1,0,1,0.483666658401489,2,3,49,1
"74",1,0,1,0.537999987602234,2,4,19,3
"75",1,0,1,0.540333330631256,3,2,25,3
"76",1,0,0,0.561333358287811,2,4,44,3
"77",1,0,0,0.506333351135254,3,1,43,3
"78",1,0,0,0.566999971866608,2,3,47,3
"79",0,0,0,0.533666670322418,2,2,14,2
"80",1,0,1,0.537999987602234,4,2,19,3
"81",1,0,0,0.614666640758514,1,1,17,2
"82",1,0,1,0.524999976158142,3,1,34,3
"83",1,0,0,0.451333343982697,3,2,11,3
"84",1,0,1,0.561333358287811,1,4,44,3
"85",1,0,0,0.471333354711533,1,4,24,2
"86",1,1,1,0.569666624069214,1,2,10,3
"87",0,0,1,0.569666624069214,4,4,10,3
"88",1,0,1,0.533666670322418,1,2,14,2
"89",0,0,0,0.549333333969116,1,3,36,2
"90",0,0,0,0.525333285331726,1,2,41,3
"91",0,0,0,0.451333343982697,3,1,11,3
"92",0,1,1,0.561333358287811,3,3,44,3
"93",0,0,1,0.451333343982697,1,2,11,3
"94",1,0,0,0.569666624069214,2,3,10,3
"95",0,0,0,0.561333358287811,2,4,44,3
"96",0,0,1,0.533666670322418,2,4,14,2
"97",0,0,0,0.521000027656555,3,3,50,2
"98",0,1,1,0.561333358287811,4,2,44,3
"99",0,0,0,0.493999987840652,2,2,21,1
"100",1,0,0,0.493999987840652,3,4,21,1
"101",0,0,1,0.506333351135254,4,2,43,3
"102",0,0,1,0.524333357810974,1,2,18,3
"103",0,0,0,0.554666697978973,1,2,23,2
"104",1,0,1,0.529333353042603,2,2,26,2
"105",1,0,0,0.566999971866608,2,1,47,3
"106",1,0,1,0.537999987602234,2,3,19,3
"107",0,0,0,0.569666624069214,1,2,10,3
"108",1,0,0,0.524999976158142,3,4,34,3
"109",1,0,1,0.561333358287811,3,2,44,3
"110",0,1,0,0.569666624069214,2,2,10,3
"111",1,0,1,0.586333334445953,3,4,15,2
"112",1,0,0,0.540333330631256,1,3,25,3
"113",0,0,1,0.554666697978973,4,2,23,2
"114",0,0,1,0.561333358287811,1,3,44,3
"115",1,0,1,0.524999976158142,2,2,34,3
"116",1,0,1,0.524999976158142,1,1,34,3
"117",1,0,1,0.561333358287811,4,1,44,3
"118",1,0,1,0.566999971866608,1,3,47,3
"119",1,0,1,0.483666658401489,3,1,49,1
"120",1,0,0,0.524333357810974,2,1,18,3
"121",1,0,0,0.569666624069214,2,1,10,3
"122",0,1,1,0.554666697978973,2,2,23,2
"123",0,0,0,0.569666624069214,2,2,10,3
"124",0,0,0,0.471333354711533,4,1,24,2
"125",0,0,0,0.561333358287811,1,1,44,3
"126",1,0,1,0.533666670322418,3,4,14,2
"127",0,0,1,0.483666658401489,2,2,49,1
"128",0,1,0,0.569666624069214,2,2,10,3
"129",1,0,1,0.506333351135254,4,2,43,3
"130",1,0,1,0.646333336830139,2,3,3,4
"131",0,0,1,0.691666662693024,2,4,13,4
"132",0,0,1,0.561333358287811,3,4,44,3
"133",1,0,1,0.533666670322418,4,4,14,2
"134",1,0,1,0.561333358287811,4,4,44,3
"135",1,0,1,0.549333333969116,2,2,36,2
"136",1,0,1,0.540333330631256,2,4,25,3
"137",1,0,1,0.483666658401489,4,1,49,1
"138",0,0,1,0.566999971866608,3,4,47,3
"139",1,0,1,0.552333295345306,2,2,48,4
"140",1,0,0,0.569666624069214,3,4,10,3
"141",0,0,1,0.522666692733765,1,4,16,2
"142",0,0,0,0.525333285331726,1,3,41,3
"143",1,0,0,0.561333358287811,4,4,44,3
"144",1,0,0,0.549333333969116,1,3,36,2
"145",1,0,1,0.471333354711533,1,3,24,2
"146",1,0,1,0.552333295345306,3,1,48,4
"147",1,0,1,0.549333333969116,1,3,36,2
"148",1,0,1,0.533666670322418,3,3,14,2
"149",1,0,0,0.569666624069214,1,3,10,3
"150",1,0,1,0.677333354949951,4,1,28,2
"151",1,0,0,0.562000036239624,2,4,5,4
"152",0,0,0,0.471333354711533,3,2,24,2
"153",0,0,0,0.528333365917206,2,2,8,1
"154",0,0,1,0.562000036239624,2,3,5,4
"155",0,0,1,0.554666697978973,2,2,23,2
"156",0,0,1,0.677333354949951,1,2,28,2
"157",1,0,0,0.632333338260651,2,4,35,2
"158",0,0,1,0.562000036239624,1,3,5,4
"159",0,0,1,0.646333336830139,3,1,3,4
"160",1,0,0,0.569666624069214,2,4,10,3
"161",1,0,0,0.552333295345306,1,2,48,4
"162",1,0,1,0.677333354949951,1,4,28,2
"163",1,0,0,0.561333358287811,3,4,44,3
"164",0,0,0,0.554666697978973,1,3,23,2
"165",1,0,1,0.533666670322418,1,2,14,2
"166",0,0,1,0.529333353042603,2,2,26,2
"167",1,0,1,0.554666697978973,1,4,23,2
"168",0,0,1,0.524333357810974,3,2,18,3
"169",1,0,1,0.614666640758514,2,2,17,2
"170",0,1,1,0.533666670322418,2,3,14,2
"171",0,0,1,0.554666697978973,3,4,23,2
"172",1,0,0,0.562000036239624,3,2,5,4
"173",0,0,0,0.533666670322418,1,2,14,2
"174",0,0,1,0.562000036239624,3,2,5,4
"175",0,0,1,0.562000036239624,2,3,5,4
"176",0,0,1,0.533666670322418,3,3,14,2
"177",1,0,0,0.562000036239624,4,3,5,4
"178",0,0,1,0.571333348751068,3,4,32,4
"179",1,0,1,0.549333333969116,2,3,36,2
"180",0,0,1,0.562000036239624,3,3,5,4
"181",0,0,1,0.552333295345306,4,2,48,4
"182",0,0,0,0.614666640758514,2,4,17,2
"183",0,0,1,0.552333295345306,1,3,48,4
"184",1,0,1,0.552333295345306,3,3,48,4
"185",0,0,0,0.562000036239624,2,4,5,4
"186",1,0,0,0.562000036239624,3,3,5,4
"187",1,0,0,0.562000036239624,1,2,5,4
"188",0,0,1,0.571333348751068,2,3,32,4
"189",0,0,0,0.539333343505859,2,4,38,4
"190",0,0,1,0.549333333969116,3,2,36,2
"191",1,0,0,0.562000036239624,2,4,5,4
"192",1,0,0,0.521000027656555,2,3,50,2
"193",0,0,0,0.562000036239624,4,2,5,4
"194",1,0,0,0.571333348751068,3,2,32,4
"195",1,0,1,0.562000036239624,4,2,5,4
"196",1,0,1,0.552333295345306,4,3,48,4
"197",0,0,0,0.562000036239624,2,3,5,4
"198",1,0,0,0.562000036239624,3,4,5,4
"199",1,0,0,0.726999998092651,3,4,45,4
"200",1,0,1,0.726999998092651,1,3,45,4
"201",1,0,1,0.562000036239624,3,2,5,4
"202",1,1,1,0.561333358287811,2,4,44,3
"203",1,0,1,0.562000036239624,2,3,5,4
"204",0,0,0,0.477999985218048,2,4,22,1
"205",0,0,0,0.563333332538605,2,2,31,1
"206",0,0,1,0.563333332538605,1,4,31,1
"207",1,0,1,0.506333351135254,2,3,43,3
"208",1,0,0,0.569666624069214,2,4,10,3
"209",0,0,1,0.562000036239624,3,2,5,4
"210",0,0,1,0.549333333969116,4,3,36,2
"211",1,0,1,0.562000036239624,2,2,5,4
"212",1,0,0,0.510999977588654,1,1,33,1
"213",1,0,0,0.549333333969116,1,2,36,2
"214",1,0,1,0.562000036239624,2,3,5,4
"215",0,1,0,0.533666670322418,1,4,14,2
"216",0,0,0,0.525333285331726,1,2,41,3
"217",0,0,1,0.552333295345306,3,3,48,4
"218",1,0,0,0.562000036239624,2,4,5,4
"219",1,0,1,0.554666697978973,3,4,23,2
"220",0,0,0,0.510999977588654,1,4,33,1
"221",1,0,1,0.521000027656555,2,4,50,2
"222",0,0,1,0.549333333969116,2,2,36,2
"223",0,0,1,0.549333333969116,1,2,36,2
"224",0,0,0,0.510999977588654,3,4,33,1
"225",1,0,1,0.566999971866608,3,3,47,3
"226",0,0,1,0.467000007629395,2,3,40,1
"227",1,0,1,0.533666670322418,2,4,14,2
"228",1,0,1,0.549333333969116,1,2,36,2
"229",1,0,0,0.562000036239624,2,2,5,4
"230",0,0,1,0.477999985218048,3,4,22,1
"231",1,0,1,0.562000036239624,1,2,5,4
"232",1,0,0,0.539333343505859,2,2,38,4
"233",0,0,1,0.467000007629395,4,1,40,1
"234",1,0,0,0.646333336830139,3,2,3,4
"235",1,0,1,0.521000027656555,1,4,50,2
"236",1,0,0,0.726999998092651,2,4,45,4
"237",1,0,0,0.471333354711533,1,2,24,2
"238",1,0,0,0.549333333969116,4,2,36,2
"239",0,0,1,0.522666692733765,3,2,16,2
"240",0,0,0,0.544666647911072,1,4,20,1
"241",0,0,0,0.561333358287811,1,4,44,3
"242",1,0,1,0.571333348751068,2,3,32,4
"243",1,0,1,0.521000027656555,2,2,50,2
"244",0,0,1,0.646333336830139,3,2,3,4
"245",0,0,1,0.554666697978973,3,2,23,2
"246",0,0,1,0.471333354711533,2,3,24,2
"247",1,0,0,0.477999985218048,3,4,22,1
"248",1,0,1,0.61300003528595,2,3,6,4
"249",1,0,1,0.563333332538605,2,4,31,1
"250",1,0,0,0.566999971866608,1,3,47,3
"251",1,0,1,0.471333354711533,1,3,24,2
"252",1,0,1,0.493999987840652,1,3,21,1
"253",1,0,0,0.483666658401489,3,2,49,1
"254",1,0,0,0.554666697978973,2,2,23,2
"255",0,0,1,0.61300003528595,2,4,6,4
"256",0,0,1,0.563333332538605,3,2,31,1
"257",1,0,1,0.552333295345306,1,3,48,4
"258",1,0,1,0.614666640758514,1,3,17,2
"259",1,0,0,0.608666658401489,1,3,37,3
"260",1,0,1,0.549333333969116,3,2,36,2
"261",1,0,1,0.549333333969116,3,4,36,2
"262",0,0,0,0.562000036239624,2,4,5,4
"263",0,1,0,0.510999977588654,2,4,33,1
"264",0,1,0,0.506333351135254,1,3,43,3
"265",0,1,0,0.537999987602234,1,2,19,3
"266",0,0,0,0.529333353042603,1,4,26,2
"267",1,0,0,0.506333351135254,3,2,43,3
"268",0,1,0,0.537999987602234,2,3,19,3
"269",1,0,0,0.563333332538605,1,3,31,1
"270",0,0,1,0.569666624069214,4,2,10,3
"271",1,0,0,0.521333336830139,3,4,39,1
"272",0,0,1,0.506333351135254,2,4,43,3
"273",1,0,1,0.477999985218048,1,2,22,1
"274",0,0,1,0.554666697978973,2,4,23,2
"275",1,0,1,0.451333343982697,3,2,11,3
"276",0,0,1,0.533666670322418,3,1,14,2
"277",1,1,0,0.525333285331726,1,2,41,3
"278",1,0,1,0.524999976158142,3,3,34,3
"279",0,0,0,0.533666670322418,1,2,14,2
"280",0,0,0,0.483666658401489,2,3,49,1
"281",0,0,0,0.569666624069214,1,1,10,3
"282",0,0,0,0.554666697978973,3,4,23,2
"283",0,0,1,0.477999985218048,2,2,22,1
"284",0,0,0,0.521000027656555,1,4,50,2
"285",0,0,0,0.510999977588654,2,2,33,1
"286",0,0,1,0.506333351135254,3,2,43,3
"287",0,0,0,0.488333344459534,4,2,4,3
"288",1,0,1,0.549333333969116,2,2,36,2
"289",0,1,1,0.451333343982697,3,1,11,3
"290",0,0,1,0.554666697978973,2,2,23,2
"291",1,0,1,0.569666624069214,3,3,10,3
"292",0,0,1,0.477999985218048,1,3,22,1
"293",0,0,1,0.521333336830139,4,4,39,1
"294",1,0,0,0.477999985218048,4,3,22,1
"295",1,0,0,0.608666658401489,1,3,37,3
"296",1,0,1,0.533666670322418,2,3,14,2
"297",0,0,0,0.533666670322418,4,2,14,2
"298",0,0,1,0.471333354711533,1,3,24,2
"299",0,0,0,0.521333336830139,2,2,39,1
"300",1,0,0,0.554666697978973,3,3,23,2
"301",0,0,0,0.569666624069214,3,3,10,3
"302",1,0,1,0.451333343982697,2,4,11,3
"303",0,0,0,0.554666697978973,2,3,23,2
"304",0,0,1,0.521333336830139,1,2,39,1
"305",0,0,1,0.451333343982697,2,2,11,3
"306",0,0,0,0.477999985218048,2,4,22,1
"307",0,0,0,0.566999971866608,1,2,47,3
"308",0,0,0,0.477999985218048,1,2,22,1
"309",0,0,1,0.510999977588654,1,2,33,1
"310",0,0,0,0.533666670322418,1,1,14,2
"311",0,0,1,0.529333353042603,3,2,26,2
"312",1,0,1,0.677333354949951,3,3,28,2
"313",1,0,0,0.554666697978973,1,2,23,2
"314",1,0,0,0.563333332538605,2,4,31,1
"315",1,0,1,0.598666667938232,2,3,42,2
"316",0,0,0,0.563333332538605,4,2,31,1
"317",1,0,1,0.561333358287811,4,1,44,3
"318",1,1,0,0.524999976158142,2,3,34,3
"319",1,0,0,0.451333343982697,1,3,11,3
"320",0,0,0,0.533666670322418,2,2,14,2
"321",0,1,0,0.510999977588654,1,2,33,1
"322",1,0,1,0.506333351135254,4,4,43,3
"323",1,0,1,0.586333334445953,4,1,15,2
"324",0,0,1,0.586333334445953,2,3,15,2
"325",0,0,0,0.563333332538605,4,2,31,1
"326",0,0,1,0.477999985218048,2,4,22,1
"327",1,0,1,0.529333353042603,3,2,26,2
"328",1,1,1,0.517333328723907,2,1,1,3
"329",1,0,0,0.483666658401489,2,2,49,1
"330",0,0,1,0.533666670322418,3,2,14,2
"331",1,0,1,0.510999977588654,1,2,33,1
"332",0,0,0,0.510999977588654,4,2,33,1
"333",1,0,0,0.563333332538605,2,4,31,1
"334",0,0,0,0.566999971866608,2,4,47,3
"335",1,0,0,0.549333333969116,3,3,36,2
"336",1,0,0,0.510999977588654,3,1,33,1
"337",0,0,1,0.510999977588654,2,3,33,1
"338",0,0,0,0.638999998569489,2,2,30,1
"339",0,0,1,0.477999985218048,1,2,22,1
"340",1,0,1,0.561333358287811,3,4,44,3
"341",1,0,0,0.540333330631256,2,3,25,3
"342",1,0,1,0.510999977588654,2,4,33,1
"343",1,0,1,0.554666697978973,3,2,23,2
"344",0,0,1,0.554666697978973,3,2,23,2
"345",1,0,0,0.525333285331726,3,4,41,3
"346",1,0,1,0.471333354711533,3,3,24,2
"347",1,0,0,0.467000007629395,2,2,40,1
"348",0,0,1,0.561333358287811,3,2,44,3
"349",0,0,0,0.477999985218048,2,2,22,1
"350",0,0,1,0.471333354711533,4,1,24,2
"351",1,0,0,0.560999989509583,2,2,46,1
"352",0,0,1,0.563333332538605,2,3,31,1
"353",0,0,1,0.510999977588654,2,3,33,1
"354",1,0,0,0.561333358287811,1,2,44,3
"355",1,0,0,0.549333333969116,2,3,36,2
"356",0,0,1,0.524999976158142,3,2,34,3
"357",1,0,1,0.525333285331726,2,4,41,3
"358",0,0,1,0.537999987602234,2,2,19,3
"359",1,0,0,0.563333332538605,1,4,31,1
"360",1,0,1,0.537999987602234,1,2,19,3
"361",1,1,1,0.566999971866608,1,2,47,3
"362",1,0,1,0.563333332538605,2,2,31,1
"363",0,0,1,0.467000007629395,2,4,40,1
"364",1,0,0,0.525333285331726,3,2,41,3
"365",1,0,0,0.569666624069214,1,4,10,3
"366",0,1,1,0.533666670322418,1,4,14,2
"367",0,0,1,0.477999985218048,3,2,22,1
"368",0,0,0,0.563333332538605,3,4,31,1
"369",0,0,0,0.569666624069214,3,2,10,3
"370",1,0,1,0.561333358287811,3,3,44,3
"371",1,0,1,0.521333336830139,1,2,39,1
"372",1,0,1,0.483666658401489,1,1,49,1
"373",1,0,1,0.451333343982697,2,2,11,3
"374",0,0,0,0.510999977588654,3,4,33,1
"375",0,0,0,0.569666624069214,1,3,10,3
"376",1,0,1,0.451333343982697,2,3,11,3
"377",1,0,0,0.524999976158142,2,2,34,3
"378",1,0,0,0.524999976158142,4,1,34,3
"379",1,0,0,0.529333353042603,2,3,26,2
"380",1,0,1,0.554666697978973,3,2,23,2
"381",1,0,0,0.510999977588654,2,4,33,1
"382",1,0,1,0.493999987840652,1,3,21,1
"383",1,0,0,0.566999971866608,1,4,47,3
"384",1,0,1,0.451333343982697,3,4,11,3
"385",1,0,1,0.566999971866608,2,2,47,3
"386",1,0,1,0.614666640758514,2,3,17,2
"387",1,0,0,0.477999985218048,2,4,22,1
"388",1,0,0,0.510999977588654,2,4,33,1
"389",1,1,0,0.569666624069214,2,1,10,3
"390",1,0,0,0.561333358287811,4,2,44,3
"391",1,1,1,0.510999977588654,1,4,33,1
"392",1,0,1,0.540333330631256,3,2,25,3
"393",1,0,0,0.554666697978973,2,2,23,2
"394",1,0,0,0.537999987602234,1,2,19,3
"395",0,1,0,0.493999987840652,1,2,21,1
"396",0,0,0,0.483666658401489,3,2,49,1
"397",0,0,1,0.525333285331726,4,2,41,3
"398",1,0,1,0.483666658401489,2,2,49,1
"399",0,0,1,0.510999977588654,2,4,33,1
"400",0,0,0,0.521333336830139,4,4,39,1
"401",0,1,1,0.451333343982697,3,2,11,3
"402",1,0,1,0.521333336830139,4,2,39,1
"403",1,0,0,0.569666624069214,1,2,10,3
"404",1,0,1,0.569666624069214,2,2,10,3
"405",0,0,1,0.493999987840652,3,2,21,1
"406",1,0,1,0.561333358287811,3,4,44,3
"407",1,0,1,0.561333358287811,2,4,44,3
"408",1,0,1,0.510999977588654,3,2,33,1
"409",1,0,0,0.561333358287811,4,4,44,3
"410",1,0,1,0.524333357810974,2,2,18,3
"411",1,0,1,0.561333358287811,4,4,44,3
"412",1,0,1,0.506333351135254,2,4,43,3
"413",1,0,1,0.510999977588654,3,4,33,1
"414",1,0,1,0.561333358287811,1,2,44,3
"415",1,0,0,0.524999976158142,1,2,34,3
"416",1,0,0,0.563333332538605,1,3,31,1
"417",1,0,1,0.562000036239624,4,2,5,4
"418",1,0,1,0.524999976158142,2,4,34,3
"419",1,0,0,0.563333332538605,2,1,31,1
"420",0,0,1,0.533666670322418,4,1,14,2
"421",1,0,1,0.524333357810974,3,2,18,3
"422",0,0,1,0.477999985218048,1,4,22,1
"423",1,0,1,0.506333351135254,3,2,43,3
"424",1,0,1,0.61300003528595,1,4,6,4
"425",0,0,1,0.533666670322418,2,4,14,2
"426",1,0,1,0.563333332538605,2,3,31,1
"427",1,0,0,0.521333336830139,1,2,39,1
"428",0,0,0,0.569666624069214,3,4,10,3
"429",0,0,1,0.524999976158142,2,1,34,3
"430",1,0,0,0.569666624069214,4,2,10,3
"431",0,0,1,0.521333336830139,2,3,39,1
"432",0,0,0,0.586333334445953,3,2,15,2
"433",1,0,1,0.477999985218048,2,3,22,1
"434",1,0,0,0.561333358287811,2,4,44,3
"435",1,0,1,0.533666670322418,2,3,14,2
"436",1,0,0,0.569666624069214,4,2,10,3
"437",1,0,1,0.561333358287811,1,4,44,3
"438",1,0,0,0.566999971866608,1,3,47,3
"439",1,0,0,0.524333357810974,1,3,18,3
"440",1,0,1,0.561333358287811,1,3,44,3
"441",0,0,1,0.467000007629395,2,3,40,1
"442",0,0,0,0.608666658401489,2,3,37,3
"443",0,0,1,0.549333333969116,2,2,36,2
"444",1,0,0,0.524333357810974,3,3,18,3
"445",0,0,0,0.521333336830139,4,2,39,1
"446",1,0,0,0.510999977588654,2,2,33,1
"447",1,0,1,0.506333351135254,1,3,43,3
"448",0,0,1,0.471333354711533,2,2,24,2
"449",0,0,1,0.569666624069214,1,1,10,3
"450",1,0,1,0.549333333969116,1,4,36,2
"451",1,0,1,0.533666670322418,3,2,14,2
"452",1,0,1,0.569666624069214,2,4,10,3
"453",1,0,1,0.569666624069214,2,4,10,3
"454",1,0,1,0.451333343982697,1,2,11,3
"455",1,0,0,0.569666624069214,4,1,10,3
"456",1,0,1,0.510999977588654,3,3,33,1
"457",0,0,1,0.521333336830139,1,2,39,1
"458",1,0,1,0.614666640758514,3,2,17,2
"459",0,0,1,0.529333353042603,2,4,26,2
"460",1,0,1,0.566999971866608,2,2,47,3
"461",1,0,1,0.569666624069214,2,3,10,3
"462",0,0,1,0.521000027656555,1,3,50,2
"463",1,0,0,0.451333343982697,2,4,11,3
"464",1,0,1,0.524333357810974,2,2,18,3
"465",1,0,1,0.521000027656555,2,2,50,2
"466",1,0,0,0.510999977588654,1,2,33,1
"467",1,0,1,0.677333354949951,3,4,28,2
"468",1,0,0,0.506333351135254,3,2,43,3
"469",0,0,0,0.471333354711533,3,2,24,2
"470",0,0,0,0.537999987602234,2,3,19,3
"471",1,0,1,0.563333332538605,1,4,31,1
"472",1,0,1,0.510999977588654,2,3,33,1
"473",0,0,0,0.529333353042603,4,3,26,2
"474",1,0,1,0.554666697978973,2,3,23,2
"475",1,0,0,0.533666670322418,2,3,14,2
"476",1,0,1,0.506333351135254,1,4,43,3
"477",1,0,1,0.561333358287811,2,2,44,3
"478",1,0,0,0.524333357810974,3,1,18,3
"479",1,0,1,0.488333344459534,1,2,4,3
"480",1,0,1,0.533666670322418,1,2,14,2
"481",1,0,1,0.529333353042603,2,4,26,2
"482",1,0,0,0.517333328723907,2,2,1,3
"483",1,0,0,0.726999998092651,1,4,45,4
"484",1,0,1,0.614666640758514,2,2,17,2
"485",1,0,0,0.561333358287811,1,4,44,3
"486",0,0,1,0.540333330631256,2,1,25,3
"487",1,0,0,0.646333336830139,3,3,3,4
"488",1,0,1,0.561333358287811,2,2,44,3
"489",1,0,1,0.562000036239624,2,4,5,4
"490",1,0,1,0.506333351135254,1,4,43,3
"491",0,1,0,0.540333330631256,2,2,25,3
"492",1,0,0,0.646333336830139,1,4,3,4
"493",0,0,1,0.521000027656555,2,4,50,2
"494",1,0,0,0.561333358287811,1,2,44,3
"495",1,0,0,0.506333351135254,4,2,43,3
"496",0,0,1,0.521000027656555,2,2,50,2
"497",0,0,0,0.562000036239624,1,4,5,4
"498",0,0,1,0.61300003528595,2,2,6,4
"499",0,0,0,0.562000036239624,2,4,5,4
"500",1,0,0,0.562000036239624,3,3,5,4
"501",1,0,1,0.562000036239624,1,2,5,4
"502",0,0,0,0.562000036239624,1,4,5,4
"503",0,0,1,0.552333295345306,1,1,48,4
"504",1,0,0,0.552333295345306,1,4,48,4
"505",1,0,0,0.667666673660278,2,3,51,4
"506",1,0,0,0.562000036239624,1,4,5,4
"507",1,0,0,0.571333348751068,2,4,32,4
"508",1,0,1,0.562000036239624,1,2,5,4
"509",1,0,0,0.562000036239624,2,4,5,4
"510",1,0,0,0.562000036239624,2,4,5,4
"511",0,1,0,0.562000036239624,3,4,5,4
"512",0,0,1,0.562000036239624,4,4,5,4
"513",0,1,0,0.562000036239624,4,1,5,4
"514",0,0,0,0.552333295345306,3,4,48,4
"515",1,0,0,0.539333343505859,3,2,38,4
"516",0,0,1,0.552333295345306,1,2,48,4
"517",0,1,1,0.510999977588654,2,2,33,1
"518",1,0,1,0.510999977588654,3,2,33,1
"519",0,0,1,0.521333336830139,3,2,39,1
"520",1,0,1,0.521333336830139,3,3,39,1
"521",1,0,1,0.510999977588654,3,3,33,1
"522",1,0,1,0.477999985218048,2,4,22,1
"523",0,0,1,0.510999977588654,2,4,33,1
"524",0,0,0,0.510999977588654,3,4,33,1
"525",0,1,1,0.510999977588654,1,2,33,1
"526",0,0,1,0.510999977588654,2,2,33,1
"527",1,0,0,0.510999977588654,1,4,33,1
"528",1,0,0,0.510999977588654,3,1,33,1
"529",1,0,0,0.510999977588654,2,4,33,1
"530",0,0,1,0.521333336830139,2,4,39,1
"531",1,0,1,0.564000010490417,4,1,7,1
"532",1,0,1,0.467000007629395,1,2,40,1
"533",0,0,1,0.510999977588654,3,4,33,1
"534",1,0,1,0.477999985218048,2,3,22,1
"535",1,0,1,0.510999977588654,2,3,33,1
"536",1,0,0,0.563333332538605,3,4,31,1
"537",0,0,1,0.521000027656555,3,3,50,2
"538",0,0,0,0.510999977588654,2,4,33,1
"539",0,0,1,0.554666697978973,2,3,23,2
"540",0,0,1,0.563333332538605,3,2,31,1
"541",1,0,1,0.521333336830139,4,2,39,1
"542",1,0,0,0.510999977588654,2,3,33,1
"543",1,0,1,0.586333334445953,3,2,15,2
"544",1,0,1,0.529333353042603,1,2,26,2
"545",0,0,1,0.510999977588654,2,3,33,1
"546",1,0,1,0.563333332538605,1,2,31,1
"547",1,0,1,0.521333336830139,2,2,39,1
"548",1,0,1,0.549333333969116,3,2,36,2
"549",1,0,0,0.549333333969116,1,3,36,2
"550",1,0,1,0.549333333969116,3,2,36,2
"551",0,0,1,0.467000007629395,2,4,40,1
"552",0,0,1,0.510999977588654,2,4,33,1
"553",1,0,1,0.521333336830139,3,2,39,1
"554",1,0,1,0.521333336830139,1,2,39,1
"555",0,0,0,0.521000027656555,2,2,50,2
"556",0,0,1,0.521000027656555,2,4,50,2
"557",0,0,0,0.549333333969116,1,2,36,2
